date_time,traffic_volume,weather_main,temp,clouds_all,weekday,hour,month,year
2018-08-28 14:00:00,5273,Rain,290.49,90,Tuesday,14,8,2018
2018-08-28 15:00:00,5865,Rain,290.71,90,Tuesday,15,8,2018
2018-08-28 16:00:00,6657,Rain,290.88,90,Tuesday,16,8,2018
2018-08-28 17:00:00,5716,Rain,291.01,75,Tuesday,17,8,2018
2018-08-28 18:00:00,4363,Rain,291.04,90,Tuesday,18,8,2018
2018-08-28 19:00:00,3406,Rain,290.68,90,Tuesday,19,8,2018
2018-08-28 19:00:00,3406,Drizzle,290.68,90,Tuesday,19,8,2018
2018-08-28 20:00:00,2896,Rain,290.17,90,Tuesday,20,8,2018
2018-08-28 21:00:00,2576,Rain,289.54,90,Tuesday,21,8,2018
2018-08-28 22:00:00,1733,Rain,288.8,90,Tuesday,22,8,2018
2018-08-28 23:00:00,1153,Rain,288.19,75,Tuesday,23,8,2018
2018-08-29 00:00:00,623,Rain,287.41,1,Wednesday,0,8,2018
2018-08-29 01:00:00,335,Rain,286.54,1,Wednesday,1,8,2018
2018-08-29 02:00:00,299,Rain,285.62,1,Wednesday,2,8,2018
2018-08-29 03:00:00,372,Rain,285.31,90,Wednesday,3,8,2018
2018-08-29 03:00:00,372,Mist,285.31,90,Wednesday,3,8,2018
2018-08-29 04:00:00,981,Rain,284.78,40,Wednesday,4,8,2018
2018-08-29 05:00:00,3103,Rain,284.77,90,Wednesday,5,8,2018
2018-08-29 06:00:00,5902,Rain,284.24,1,Wednesday,6,8,2018
2018-08-29 06:00:00,5902,Mist,284.24,1,Wednesday,6,8,2018
2018-08-29 07:00:00,6775,Rain,283.87,40,Wednesday,7,8,2018
2018-08-29 07:00:00,6775,Mist,283.87,40,Wednesday,7,8,2018
2018-08-29 08:00:00,6164,Rain,284.8,90,Wednesday,8,8,2018
2018-08-29 08:00:00,6164,Mist,284.8,90,Wednesday,8,8,2018
2018-08-29 09:00:00,5421,Rain,286.01,40,Wednesday,9,8,2018
2018-08-29 10:00:00,4871,Rain,287.97,75,Wednesday,10,8,2018
2018-08-29 11:00:00,4969,Clouds,289.47,75,Wednesday,11,8,2018
2018-08-29 12:00:00,5134,Rain,290.43,75,Wednesday,12,8,2018
2018-08-29 13:00:00,4999,Rain,291.07,75,Wednesday,13,8,2018
2018-08-29 14:00:00,5349,Rain,292.11,75,Wednesday,14,8,2018
2018-08-29 15:00:00,5814,Rain,292.91,75,Wednesday,15,8,2018
2018-08-29 16:00:00,6578,Clouds,293.91,75,Wednesday,16,8,2018
2018-08-29 17:00:00,5860,Rain,293.87,75,Wednesday,17,8,2018
2018-08-29 18:00:00,4554,Rain,294.04,40,Wednesday,18,8,2018
2018-08-29 19:00:00,3487,Rain,293.54,75,Wednesday,19,8,2018
2018-08-29 20:00:00,3205,Rain,291.91,1,Wednesday,20,8,2018
2018-08-29 21:00:00,2800,Rain,289.09,20,Wednesday,21,8,2018
2018-08-29 22:00:00,2106,Rain,287.59,1,Wednesday,22,8,2018
2018-08-29 23:00:00,1272,Rain,286.59,1,Wednesday,23,8,2018
2018-08-30 00:00:00,670,Rain,286.24,1,Thursday,0,8,2018
2018-08-30 01:00:00,456,Rain,285.53,1,Thursday,1,8,2018
2018-08-30 02:00:00,326,Rain,285.35,1,Thursday,2,8,2018
2018-08-30 03:00:00,388,Rain,285.33,1,Thursday,3,8,2018
2018-08-30 03:00:00,388,Mist,285.33,1,Thursday,3,8,2018
2018-08-30 04:00:00,1008,Rain,285.49,1,Thursday,4,8,2018
2018-08-30 04:00:00,1008,Mist,285.49,1,Thursday,4,8,2018
2018-08-30 05:00:00,3070,Rain,285.41,1,Thursday,5,8,2018
2018-08-30 06:00:00,5886,Rain,285.24,40,Thursday,6,8,2018
2018-08-30 07:00:00,6466,Rain,285.24,1,Thursday,7,8,2018
2018-08-30 07:00:00,6466,Mist,285.24,1,Thursday,7,8,2018
2018-08-30 08:00:00,5995,Rain,286.1,1,Thursday,8,8,2018
2018-08-30 09:00:00,5467,Rain,288.43,20,Thursday,9,8,2018
2018-08-30 10:00:00,4911,Rain,290.56,1,Thursday,10,8,2018
2018-08-30 11:00:00,5095,Rain,292.81,5,Thursday,11,8,2018
2018-08-30 12:00:00,5308,Rain,294.11,5,Thursday,12,8,2018
2018-08-30 13:00:00,5213,Rain,294.92,1,Thursday,13,8,2018
2018-08-30 14:00:00,5680,Rain,295.86,1,Thursday,14,8,2018
2018-08-30 15:00:00,6238,Rain,296.67,40,Thursday,15,8,2018
2018-08-30 16:00:00,6453,Rain,297.28,20,Thursday,16,8,2018
2018-08-30 17:00:00,5775,Rain,297.43,1,Thursday,17,8,2018
2018-08-30 18:00:00,4531,Rain,297.24,1,Thursday,18,8,2018
2018-08-30 19:00:00,3884,Rain,296.38,90,Thursday,19,8,2018
2018-08-30 20:00:00,3332,Rain,295.72,90,Thursday,20,8,2018
2018-08-30 21:00:00,3049,Rain,295.37,90,Thursday,21,8,2018
2018-08-30 22:00:00,2221,Rain,295.14,90,Thursday,22,8,2018
2018-08-30 23:00:00,1396,Rain,294.93,75,Thursday,23,8,2018
2018-08-31 00:00:00,764,Rain,294.76,75,Friday,0,8,2018
2018-08-31 01:00:00,456,Rain,294.61,75,Friday,1,8,2018
2018-08-31 02:00:00,358,Rain,294.54,90,Friday,2,8,2018
2018-08-31 02:00:00,358,Thunderstorm,294.54,90,Friday,2,8,2018
2018-08-31 03:00:00,378,Rain,294.04,90,Friday,3,8,2018
2018-08-31 03:00:00,378,Thunderstorm,294.04,90,Friday,3,8,2018
2018-08-31 03:00:00,378,Mist,294.04,90,Friday,3,8,2018
2018-08-31 04:00:00,851,Rain,293.37,90,Friday,4,8,2018
2018-08-31 04:00:00,851,Thunderstorm,293.37,90,Friday,4,8,2018
2018-08-31 04:00:00,851,Drizzle,293.37,90,Friday,4,8,2018
2018-08-31 05:00:00,2754,Rain,293.51,40,Friday,5,8,2018
2018-08-31 05:00:00,2754,Thunderstorm,293.51,40,Friday,5,8,2018
2018-08-31 06:00:00,5200,Rain,294.04,75,Friday,6,8,2018
2018-08-31 07:00:00,6270,Rain,293.83,40,Friday,7,8,2018
2018-08-31 08:00:00,5687,Rain,294.0,75,Friday,8,8,2018
2018-08-31 08:00:00,5687,Thunderstorm,294.0,75,Friday,8,8,2018
2018-08-31 09:00:00,5328,Rain,294.47,40,Friday,9,8,2018
2018-08-31 10:00:00,5102,Rain,295.68,1,Friday,10,8,2018
2018-08-31 11:00:00,5359,Rain,296.86,90,Friday,11,8,2018
2018-08-31 12:00:00,5587,Clouds,296.68,90,Friday,12,8,2018
2018-08-31 13:00:00,5400,Rain,297.12,75,Friday,13,8,2018
2018-08-31 13:00:00,5400,Mist,297.12,75,Friday,13,8,2018
2018-08-31 14:00:00,5705,Rain,299.25,75,Friday,14,8,2018
2018-08-31 15:00:00,5998,Rain,300.27,75,Friday,15,8,2018
2018-08-31 16:00:00,5925,Rain,301.16,75,Friday,16,8,2018
2018-08-31 17:00:00,5418,Rain,300.79,1,Friday,17,8,2018
2018-08-31 18:00:00,4935,Rain,300.4,75,Friday,18,8,2018
2018-08-31 19:00:00,3945,Rain,299.47,75,Friday,19,8,2018
2018-08-31 19:00:00,3945,Thunderstorm,299.47,75,Friday,19,8,2018
2018-08-31 20:00:00,3233,Rain,298.46,1,Friday,20,8,2018
2018-08-31 21:00:00,2910,Rain,297.44,75,Friday,21,8,2018
2018-08-31 22:00:00,2830,Rain,296.95,1,Friday,22,8,2018
2018-08-31 23:00:00,2147,Rain,296.68,40,Friday,23,8,2018
2018-09-01 00:00:00,1335,Rain,296.27,1,Saturday,0,9,2018
2018-09-01 01:00:00,785,Rain,295.45,1,Saturday,1,9,2018
2018-09-01 02:00:00,569,Rain,295.16,75,Saturday,2,9,2018
2018-09-01 03:00:00,425,Rain,295.14,40,Saturday,3,9,2018
2018-09-01 04:00:00,419,Rain,294.92,40,Saturday,4,9,2018
2018-09-01 05:00:00,741,Rain,294.7,90,Saturday,5,9,2018
2018-09-01 06:00:00,1529,Rain,294.61,90,Saturday,6,9,2018
2018-09-01 07:00:00,2477,Rain,294.53,40,Saturday,7,9,2018
2018-09-01 07:00:00,2477,Mist,294.53,40,Saturday,7,9,2018
2018-09-01 08:00:00,3476,Rain,294.53,75,Saturday,8,9,2018
2018-09-01 08:00:00,3476,Mist,294.53,75,Saturday,8,9,2018
2018-09-01 09:00:00,4212,Mist,295.05,90,Saturday,9,9,2018
2018-09-01 10:00:00,4578,Rain,295.91,90,Saturday,10,9,2018
2018-09-01 10:00:00,4578,Mist,295.91,90,Saturday,10,9,2018
2018-09-01 11:00:00,4897,Rain,297.06,90,Saturday,11,9,2018
2018-09-01 12:00:00,4854,Rain,298.43,20,Saturday,12,9,2018
2018-09-01 13:00:00,4972,Rain,299.52,40,Saturday,13,9,2018
2018-09-01 14:00:00,5056,Rain,300.51,40,Saturday,14,9,2018
2018-09-01 14:00:00,5056,Haze,300.51,40,Saturday,14,9,2018
2018-09-01 15:00:00,4719,Rain,301.47,40,Saturday,15,9,2018
2018-09-01 16:00:00,4649,Rain,301.98,1,Saturday,16,9,2018
2018-09-01 17:00:00,4622,Rain,302.49,1,Saturday,17,9,2018
2018-09-01 18:00:00,4261,Rain,301.97,1,Saturday,18,9,2018
2018-09-01 19:00:00,3518,Rain,301.36,1,Saturday,19,9,2018
2018-09-01 20:00:00,3196,Rain,299.12,1,Saturday,20,9,2018
2018-09-01 21:00:00,2880,Rain,296.39,40,Saturday,21,9,2018
2018-09-01 22:00:00,2815,Rain,295.58,5,Saturday,22,9,2018
2018-09-01 23:00:00,1945,Rain,295.01,1,Saturday,23,9,2018
2018-09-01 23:00:00,1945,Mist,295.01,1,Saturday,23,9,2018
2018-09-02 00:00:00,1273,Rain,294.74,1,Sunday,0,9,2018
2018-09-02 01:00:00,801,Rain,294.49,1,Sunday,1,9,2018
2018-09-02 01:00:00,801,Mist,294.49,1,Sunday,1,9,2018
2018-09-02 02:00:00,565,Rain,294.5,40,Sunday,2,9,2018
2018-09-02 03:00:00,386,Rain,294.59,1,Sunday,3,9,2018
2018-09-02 04:00:00,316,Rain,294.57,1,Sunday,4,9,2018
2018-09-02 04:00:00,316,Mist,294.57,1,Sunday,4,9,2018
2018-09-02 05:00:00,532,Rain,295.19,40,Sunday,5,9,2018
2018-09-02 05:00:00,532,Mist,295.19,40,Sunday,5,9,2018
2018-09-02 06:00:00,1003,Rain,295.1,40,Sunday,6,9,2018
2018-09-02 06:00:00,1003,Mist,295.1,40,Sunday,6,9,2018
2018-09-02 07:00:00,1607,Rain,294.69,40,Sunday,7,9,2018
2018-09-02 08:00:00,2334,Rain,294.41,90,Sunday,8,9,2018
2018-09-02 09:00:00,2929,Rain,294.37,90,Sunday,9,9,2018
2018-09-02 10:00:00,3571,Rain,293.77,90,Sunday,10,9,2018
2018-09-02 10:00:00,3571,Mist,293.77,90,Sunday,10,9,2018
2018-09-02 11:00:00,4040,Rain,294.25,90,Sunday,11,9,2018
2018-09-02 11:00:00,4040,Mist,294.25,90,Sunday,11,9,2018
2018-09-02 12:00:00,4549,Rain,294.83,75,Sunday,12,9,2018
2018-09-02 13:00:00,4414,Rain,295.53,1,Sunday,13,9,2018
2018-09-02 14:00:00,4299,Rain,297.33,75,Sunday,14,9,2018
2018-09-02 15:00:00,4330,Rain,298.66,75,Sunday,15,9,2018
2018-09-02 16:00:00,4197,Rain,299.44,1,Sunday,16,9,2018
2018-09-02 17:00:00,3833,Rain,300.0,40,Sunday,17,9,2018
2018-09-02 18:00:00,3601,Rain,299.59,75,Sunday,18,9,2018
2018-09-02 19:00:00,3098,Rain,298.92,1,Sunday,19,9,2018
2018-09-02 20:00:00,3115,Rain,297.17,75,Sunday,20,9,2018
2018-09-02 21:00:00,2669,Rain,295.46,1,Sunday,21,9,2018
2018-09-02 22:00:00,2066,Rain,293.85,20,Sunday,22,9,2018
2018-09-02 22:00:00,2066,Fog,293.85,20,Sunday,22,9,2018
2018-09-02 23:00:00,1475,Rain,292.83,1,Sunday,23,9,2018
2018-09-02 23:00:00,1475,Mist,292.83,1,Sunday,23,9,2018
2018-09-03 00:00:00,962,Rain,292.43,1,Monday,0,9,2018
2018-09-03 00:00:00,962,Mist,292.43,1,Monday,0,9,2018
2018-09-03 01:00:00,694,Rain,291.65,1,Monday,1,9,2018
2018-09-03 01:00:00,694,Haze,291.65,1,Monday,1,9,2018
2018-09-03 01:00:00,694,Mist,291.65,1,Monday,1,9,2018
2018-09-03 02:00:00,421,Rain,291.74,40,Monday,2,9,2018
2018-09-03 02:00:00,421,Fog,291.74,40,Monday,2,9,2018
2018-09-03 03:00:00,310,Rain,291.63,40,Monday,3,9,2018
2018-09-03 04:00:00,325,Rain,291.59,75,Monday,4,9,2018
2018-09-03 04:00:00,325,Mist,291.59,75,Monday,4,9,2018
2018-09-03 05:00:00,590,Rain,291.48,1,Monday,5,9,2018
2018-09-03 05:00:00,590,Haze,291.48,1,Monday,5,9,2018
2018-09-03 05:00:00,590,Fog,291.48,1,Monday,5,9,2018
2018-09-03 05:00:00,590,Mist,291.48,1,Monday,5,9,2018
2018-09-03 06:00:00,1141,Rain,291.76,1,Monday,6,9,2018
2018-09-03 06:00:00,1141,Haze,291.76,1,Monday,6,9,2018
2018-09-03 07:00:00,1556,Rain,291.61,75,Monday,7,9,2018
2018-09-03 07:00:00,1556,Mist,291.61,75,Monday,7,9,2018
2018-09-03 08:00:00,1995,Rain,291.81,75,Monday,8,9,2018
2018-09-03 08:00:00,1995,Mist,291.81,75,Monday,8,9,2018
2018-09-03 09:00:00,2524,Rain,292.51,90,Monday,9,9,2018
2018-09-03 10:00:00,3050,Rain,293.68,90,Monday,10,9,2018
2018-09-03 10:00:00,3050,Mist,293.68,90,Monday,10,9,2018
2018-09-03 11:00:00,3616,Rain,294.77,90,Monday,11,9,2018
2018-09-03 11:00:00,3616,Mist,294.77,90,Monday,11,9,2018
2018-09-03 12:00:00,3901,Rain,295.76,90,Monday,12,9,2018
2018-09-03 13:00:00,4110,Rain,296.76,90,Monday,13,9,2018
2018-09-03 14:00:00,4446,Rain,296.59,90,Monday,14,9,2018
2018-09-03 15:00:00,4411,Rain,296.65,90,Monday,15,9,2018
2018-09-03 16:00:00,4017,Rain,296.76,90,Monday,16,9,2018
2018-09-03 16:00:00,4017,Drizzle,296.76,90,Monday,16,9,2018
2018-09-03 17:00:00,3900,Rain,296.6,90,Monday,17,9,2018
2018-09-03 18:00:00,3487,Rain,296.24,90,Monday,18,9,2018
2018-09-03 19:00:00,3006,Rain,295.27,90,Monday,19,9,2018
2018-09-03 19:00:00,3006,Mist,295.27,90,Monday,19,9,2018
2018-09-03 19:00:00,3006,Drizzle,295.27,90,Monday,19,9,2018
2018-09-03 20:00:00,2627,Rain,294.82,90,Monday,20,9,2018
2018-09-03 20:00:00,2627,Drizzle,294.82,90,Monday,20,9,2018
2018-09-03 21:00:00,2081,Rain,294.8,90,Monday,21,9,2018
2018-09-03 22:00:00,1588,Rain,294.49,90,Monday,22,9,2018
2018-09-03 22:00:00,1588,Mist,294.49,90,Monday,22,9,2018
2018-09-03 23:00:00,1012,Rain,294.46,90,Monday,23,9,2018
2018-09-03 23:00:00,1012,Drizzle,294.46,90,Monday,23,9,2018
2018-09-04 00:00:00,528,Rain,294.32,90,Tuesday,0,9,2018
2018-09-04 01:00:00,321,Rain,294.31,90,Tuesday,1,9,2018
2018-09-04 01:00:00,321,Mist,294.31,90,Tuesday,1,9,2018
2018-09-04 01:00:00,321,Drizzle,294.31,90,Tuesday,1,9,2018
2018-09-04 02:00:00,254,Rain,294.27,90,Tuesday,2,9,2018
2018-09-04 02:00:00,254,Mist,294.27,90,Tuesday,2,9,2018
2018-09-04 03:00:00,332,Rain,294.33,90,Tuesday,3,9,2018
2018-09-04 04:00:00,901,Rain,294.33,90,Tuesday,4,9,2018
2018-09-04 05:00:00,2863,Rain,294.28,90,Tuesday,5,9,2018
2018-09-04 05:00:00,2863,Mist,294.28,90,Tuesday,5,9,2018
2018-09-04 05:00:00,2863,Haze,294.28,90,Tuesday,5,9,2018
2018-09-04 05:00:00,2863,Drizzle,294.28,90,Tuesday,5,9,2018
2018-09-04 06:00:00,5280,Rain,294.24,75,Tuesday,6,9,2018
2018-09-04 06:00:00,5280,Drizzle,294.24,75,Tuesday,6,9,2018
2018-09-04 06:00:00,5280,Mist,294.24,75,Tuesday,6,9,2018
2018-09-04 07:00:00,6379,Rain,294.02,1,Tuesday,7,9,2018
2018-09-04 07:00:00,6379,Drizzle,294.02,1,Tuesday,7,9,2018
2018-09-04 08:00:00,5856,Rain,294.1,90,Tuesday,8,9,2018
2018-09-04 08:00:00,5856,Mist,294.1,90,Tuesday,8,9,2018
2018-09-04 08:00:00,5856,Thunderstorm,294.1,90,Tuesday,8,9,2018
2018-09-04 09:00:00,5242,Rain,294.43,90,Tuesday,9,9,2018
2018-09-04 09:00:00,5242,Drizzle,294.43,90,Tuesday,9,9,2018
2018-09-04 09:00:00,5242,Mist,294.43,90,Tuesday,9,9,2018
2018-09-04 09:00:00,5242,Thunderstorm,294.43,90,Tuesday,9,9,2018
2018-09-04 10:00:00,4403,Rain,294.78,90,Tuesday,10,9,2018
2018-09-04 10:00:00,4403,Mist,294.78,90,Tuesday,10,9,2018
2018-09-04 10:00:00,4403,Thunderstorm,294.78,90,Tuesday,10,9,2018
2018-09-04 10:00:00,4403,Drizzle,294.78,90,Tuesday,10,9,2018
2018-09-04 11:00:00,4477,Rain,295.28,90,Tuesday,11,9,2018
2018-09-04 11:00:00,4477,Mist,295.28,90,Tuesday,11,9,2018
2018-09-04 12:00:00,4583,Rain,295.91,40,Tuesday,12,9,2018
2018-09-04 12:00:00,4583,Thunderstorm,295.91,40,Tuesday,12,9,2018
2018-09-04 13:00:00,4652,Rain,296.41,90,Tuesday,13,9,2018
2018-09-04 13:00:00,4652,Mist,296.41,90,Tuesday,13,9,2018
2018-09-04 14:00:00,4785,Rain,296.16,90,Tuesday,14,9,2018
2018-09-04 14:00:00,4785,Mist,296.16,90,Tuesday,14,9,2018
2018-09-04 15:00:00,5436,Rain,295.82,90,Tuesday,15,9,2018
2018-09-04 15:00:00,5436,Mist,295.82,90,Tuesday,15,9,2018
2018-09-04 16:00:00,5667,Rain,295.6,90,Tuesday,16,9,2018
2018-09-04 16:00:00,5667,Mist,295.6,90,Tuesday,16,9,2018
2018-09-04 17:00:00,5494,Rain,295.01,90,Tuesday,17,9,2018
2018-09-04 17:00:00,5494,Mist,295.01,90,Tuesday,17,9,2018
2018-09-04 17:00:00,5494,Drizzle,295.01,90,Tuesday,17,9,2018
2018-09-04 18:00:00,4383,Rain,294.12,75,Tuesday,18,9,2018
2018-09-04 18:00:00,4383,Mist,294.12,75,Tuesday,18,9,2018
2018-09-04 18:00:00,4383,Thunderstorm,294.12,75,Tuesday,18,9,2018
2018-09-04 18:00:00,4383,Drizzle,294.12,75,Tuesday,18,9,2018
2018-09-04 19:00:00,3017,Rain,293.79,90,Tuesday,19,9,2018
2018-09-04 19:00:00,3017,Mist,293.79,90,Tuesday,19,9,2018
2018-09-04 19:00:00,3017,Drizzle,293.79,90,Tuesday,19,9,2018
2018-09-04 20:00:00,2385,Rain,293.66,90,Tuesday,20,9,2018
2018-09-04 20:00:00,2385,Mist,293.66,90,Tuesday,20,9,2018
2018-09-04 20:00:00,2385,Drizzle,293.66,90,Tuesday,20,9,2018
2018-09-04 21:00:00,2105,Rain,293.64,90,Tuesday,21,9,2018
2018-09-04 21:00:00,2105,Mist,293.64,90,Tuesday,21,9,2018
2018-09-04 21:00:00,2105,Drizzle,293.64,90,Tuesday,21,9,2018
2018-09-04 22:00:00,1351,Rain,293.62,90,Tuesday,22,9,2018
2018-09-04 22:00:00,1351,Mist,293.62,90,Tuesday,22,9,2018
2018-09-04 22:00:00,1351,Drizzle,293.62,90,Tuesday,22,9,2018
2018-09-04 23:00:00,921,Rain,292.87,90,Tuesday,23,9,2018
2018-09-04 23:00:00,921,Drizzle,292.87,90,Tuesday,23,9,2018
2018-09-05 00:00:00,522,Rain,292.62,75,Wednesday,0,9,2018
2018-09-05 00:00:00,522,Drizzle,292.62,75,Wednesday,0,9,2018
2018-09-05 01:00:00,304,Rain,292.44,90,Wednesday,1,9,2018
2018-09-05 01:00:00,304,Drizzle,292.44,90,Wednesday,1,9,2018
2018-09-05 02:00:00,254,Rain,292.27,1,Wednesday,2,9,2018
2018-09-05 03:00:00,323,Rain,292.18,40,Wednesday,3,9,2018
2018-09-05 03:00:00,323,Drizzle,292.18,40,Wednesday,3,9,2018
2018-09-05 04:00:00,882,Rain,292.18,90,Wednesday,4,9,2018
2018-09-05 04:00:00,882,Drizzle,292.18,90,Wednesday,4,9,2018
2018-09-05 05:00:00,3013,Rain,291.95,75,Wednesday,5,9,2018
2018-09-05 05:00:00,3013,Drizzle,291.95,75,Wednesday,5,9,2018
2018-09-05 06:00:00,5633,Rain,291.79,75,Wednesday,6,9,2018
2018-09-05 06:00:00,5633,Drizzle,291.79,75,Wednesday,6,9,2018
2018-09-05 06:00:00,5633,Mist,291.79,75,Wednesday,6,9,2018
2018-09-05 07:00:00,6668,Rain,291.56,90,Wednesday,7,9,2018
2018-09-05 07:00:00,6668,Drizzle,291.56,90,Wednesday,7,9,2018
2018-09-05 08:00:00,6327,Clouds,291.21,90,Wednesday,8,9,2018
2018-09-05 09:00:00,5237,Clouds,290.29,90,Wednesday,9,9,2018
2018-09-05 10:00:00,4599,Clouds,290.31,90,Wednesday,10,9,2018
2018-09-05 11:00:00,4635,Clouds,290.52,90,Wednesday,11,9,2018
2018-09-05 12:00:00,5001,Clouds,291.13,75,Wednesday,12,9,2018
2018-09-05 13:00:00,4781,Clear,291.96,1,Wednesday,13,9,2018
2018-09-05 14:00:00,4816,Clear,292.96,1,Wednesday,14,9,2018
2018-09-05 15:00:00,5661,Clouds,294.04,75,Wednesday,15,9,2018
2018-09-05 16:00:00,6555,Clouds,294.6,75,Wednesday,16,9,2018
2018-09-05 17:00:00,5938,Clear,294.79,1,Wednesday,17,9,2018
2018-09-05 18:00:00,4426,Clear,294.67,1,Wednesday,18,9,2018
2018-09-05 19:00:00,3414,Rain,294.0,1,Wednesday,19,9,2018
2018-09-05 20:00:00,3130,Rain,291.96,1,Wednesday,20,9,2018
2018-09-05 21:00:00,2532,Rain,289.44,40,Wednesday,21,9,2018
2018-09-05 22:00:00,1629,Rain,287.97,5,Wednesday,22,9,2018
2018-09-05 23:00:00,993,Rain,286.25,1,Wednesday,23,9,2018
2018-09-06 00:00:00,570,Rain,286.08,1,Thursday,0,9,2018
2018-09-06 00:00:00,570,Mist,286.08,1,Thursday,0,9,2018
2018-09-06 01:00:00,350,Rain,285.38,1,Thursday,1,9,2018
2018-09-06 01:00:00,350,Mist,285.38,1,Thursday,1,9,2018
2018-09-06 02:00:00,281,Rain,285.14,1,Thursday,2,9,2018
2018-09-06 02:00:00,281,Mist,285.14,1,Thursday,2,9,2018
2018-09-06 03:00:00,337,Rain,285.03,1,Thursday,3,9,2018
2018-09-06 03:00:00,337,Mist,285.03,1,Thursday,3,9,2018
2018-09-06 04:00:00,909,Rain,284.29,1,Thursday,4,9,2018
2018-09-06 04:00:00,909,Fog,284.29,1,Thursday,4,9,2018
2018-09-06 05:00:00,3036,Rain,283.88,1,Thursday,5,9,2018
2018-09-06 05:00:00,3036,Mist,283.88,1,Thursday,5,9,2018
2018-09-06 06:00:00,5868,Rain,282.84,1,Thursday,6,9,2018
2018-09-06 07:00:00,6526,Rain,282.24,20,Thursday,7,9,2018
2018-09-06 07:00:00,6526,Mist,282.24,20,Thursday,7,9,2018
2018-09-06 08:00:00,5996,Rain,284.23,1,Thursday,8,9,2018
2018-09-06 09:00:00,5328,Rain,285.67,5,Thursday,9,9,2018
2018-09-06 10:00:00,4579,Rain,288.74,1,Thursday,10,9,2018
2018-09-06 11:00:00,4727,Clear,290.85,1,Thursday,11,9,2018
2018-09-06 12:00:00,4765,Rain,292.04,1,Thursday,12,9,2018
2018-09-06 13:00:00,4853,Clear,293.13,1,Thursday,13,9,2018
2018-09-06 14:00:00,4947,Clouds,293.97,40,Thursday,14,9,2018
2018-09-06 15:00:00,5786,Clear,294.9,1,Thursday,15,9,2018
2018-09-06 16:00:00,6396,Clouds,295.5,40,Thursday,16,9,2018
2018-09-06 17:00:00,6008,Clouds,295.58,75,Thursday,17,9,2018
2018-09-06 18:00:00,4373,Clouds,295.37,75,Thursday,18,9,2018
2018-09-06 19:00:00,3382,Clouds,294.17,75,Thursday,19,9,2018
2018-09-06 20:00:00,3223,Clear,291.43,1,Thursday,20,9,2018
2018-09-06 21:00:00,2712,Clouds,288.96,40,Thursday,21,9,2018
2018-09-06 22:00:00,2096,Clear,286.85,1,Thursday,22,9,2018
2018-09-06 23:00:00,1248,Clear,286.01,1,Thursday,23,9,2018
2018-09-07 00:00:00,550,Clear,285.49,1,Friday,0,9,2018
2018-09-07 01:00:00,417,Clear,285.09,1,Friday,1,9,2018
2018-09-07 02:00:00,307,Clear,284.91,1,Friday,2,9,2018
2018-09-07 03:00:00,338,Clear,284.85,1,Friday,3,9,2018
2018-09-07 04:00:00,892,Clear,284.76,1,Friday,4,9,2018
2018-09-07 05:00:00,2942,Clear,284.41,1,Friday,5,9,2018
2018-09-07 06:00:00,5542,Clear,284.13,1,Friday,6,9,2018
2018-09-07 07:00:00,6675,Mist,284.21,75,Friday,7,9,2018
2018-09-07 08:00:00,5923,Clear,285.04,1,Friday,8,9,2018
2018-09-07 09:00:00,5061,Clear,287.12,1,Friday,9,9,2018
2018-09-07 10:00:00,4720,Clear,289.6,1,Friday,10,9,2018
